"name","gender"
"THEODULE Valerio","Men"
"HAEGGLUND Rikard","Men"
"WALPEN Dominik","Men"
"BUCHS Andreas","Men"
"FISCHER Boris","Men"
"GAY Stephane","Men"
"HAENNINEN Arttu","Men"
"HOVILA Hannu","Men"
"SKORSTAD Haavard","Men"
"TOPPARI Timo","Men"
"SVANEBO Andreas","Men"
"LAANGBERG Tobias","Men"
"SVANEBO Anders","Men"
"PARK Byung Joo","Men"
"ELDEN Trond Einar","Men"
"TOVAGLIARI Manuel","Men"
"EGER Ulrich","Men"
"VANDEL Ludovic","Men"
"PEDERSEN Eivind Juul","Men"
"PEDERSEN Kjetil Juul","Men"
"BERGER Ola","Men"
"HASSELVOLD Lars","Men"
"SKJOENSFJELL Karl Gunnar","Men"
"SANDBAKK Oeyvind","Men"
"BOERSHEIM Hallvard","Men"
"EMANUELSEN Espen","Men"
"ANDERSEN Ruben","Men"
"INGESSON Magnus","Men"
"CARLSSON Magnus","Men"
"WASS Simon","Men"
"HENRIKSSON Johan","Men"
"DAHLSTEN Stefan","Men"
"HOEOEK Johan","Men"
"BERGLUND Erik","Men"
"ASCHWANDEN Wilhelm","Men"
"DUCHENE Vincent","Men"
"MARGUET Anthony","Men"
"HUARD Anael","Men"
"REGARD Bertrand","Men"
"SOULIE Francois","Men"
"ZANETEL Gianantonio","Men"
"MARGAROLI Ivan","Men"
"BROERS Morten","Men"
"POZZI Maurizio","Men"
"TORSETH Rune","Men"
"PENASA Mirko","Men"
"FILIPPA Agostino","Men"
"MAJ Fabio","Men"
"CARDINI Luciano","Men"
"PALMER Anders","Men"
"ALSGAARD Thomas","Men"
"RUPNIK Vasja","Men"
"NOVOTNY Viktor","Men"
"SRETR Radek","Men"
"REPO Sami","Men"
"NIKON Gennadiy","Men"
"GRABMAYR Markus","Men"
"ZYBAILO Vladislavas","Men"
"GANNER Norbert","Men"
"FRESARD Christophe","Men"
"SCHMID Thomas","Men"
"ZIHLMANN Andreas","Men"
"BERCHTOLD Dominik","Men"
"MICHEL Martin","Men"
"DRAEYER Simon","Men"
"SUTER Thomas","Men"
"DE ZOLT PONTE Roberto","Men"
"GRANDELIS Tullio","Men"
"KALLIOKOSKI Jari","Men"
"ELOFSSON Per","Men"
"JAKSA Matej","Men"
"DENISOV Vitaly","Men"
"BJERVIG Espen","Men"
"AZEGAMI Daichi","Men"
"WESTMAN Tobias","Men"
"ANDERSEN Oeystein","Men"
"HVATTUM Per Morten","Men"
"DYBENDAL Henning","Men"
"LEGOTINE Vladimir","Men"
"KUNZ Stephan","Men"
"MARENT Alexander","Men"
"REISSHAUER Rene","Men"
"SCHLOTT Sebastian","Men"
"WADSWORTH Justin","Men"
"KUCERA Josef","Men"
"JAKUBICKA Tomas","Men"
"MASLOV Dmitri","Men"
"MILKOV Andrej","Men"
"ROCHEV Anatolij","Men"
"GRISHIN Sergey","Men"
"KUDO Hiroshi","Men"
"ROELLI Patrick","Men"
"ELMER Rico","Men"
"RUBIN Philipp","Men"
"MAANINKA Marko","Men"
"NORDBAECK Hakan","Men"
